Mexican Coca Cola Bottle,25,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Upgrade Well Drinks: Lemon – Cactus,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Dolomia Sparkling,12,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Fresh Orange Juice ,20,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Homemade Lemonade,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Horchata,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Juicebox Cold Pressed Apple,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Juicebox Cold Pressed Mandarin,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Juicebox Cold Pressed Pineapple,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Juicebox Cold Pressed Chilli Pineapple ,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Mango Jarritos Bottle,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Pineapple Jarritos Bottle,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Cola Jarritos Bottle,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Strawberry Jarritos Bottle,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Long Black - Medium ,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Long Black - Large ,17,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Flat White,20,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Latte - Medium,17,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Latte - Large ,19,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
The Mexican Late Frio **NEW**,22,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
English Breakfast Tea,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Earl Grey Tea,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Chai Tea,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Lemon Ginger Tea,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Peppermint Tea,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Chamomile Tea,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
El Yucateco Green Habanero 120ml ,25,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
El Yucateco Kutbil XXX Spicy 120ml ,25,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
El Yucateco Black Habanero 120ml,25,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
El Yucateco Chipotle 150ml,25,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Lunch Box 1,64,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Lunch Box 2,64,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Lunch Box 3,64,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Lunch Box 4,74,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Lunch Box 5,74,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Lunch Box 6,74,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Salmon Tartare (180g),70,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Marinated Tartare (180g),81,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Salmon Avocado Chirashi,87,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Marinated Chirashi,97,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
Teriyaki Salmon Poke Bowl ,85,SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP,Deliveroo
